,literal,grade,stroke_counts,freq,jlpt,ja_ons,ja_kuns,meanings,example,example_translation
53,男,1.0,7,240,5,"['ダン', 'ナン']","['おとこ', 'お']",['male'],いい男見つけたね。,You got yourself a nice guy.
54,西,2.0,6,259,5,"['セイ', 'サイ', 'ス']",['にし'],"['west', 'Spain']",この町は西も東も分かりません。,I'm quite a stranger in this town.
55,電,2.0,13,268,5,['デン'],[],['electricity'],電気を消していただけませんか。,Could you turn off the lights?
56,校,1.0,10,294,5,"['コウ', 'キョウ']",[],"['exam', 'school', 'printing', 'proof', 'correction']",我が校は彼の授業法を採用した。,Our school adopted his teaching methods.
57,語,2.0,14,301,5,['ゴ'],"['かた.る', 'かた.らう']","['word', 'speech', 'language']",５０語以内で書きなさい。,Write in less than 50 words.
58,土,1.0,3,307,5,"['ド', 'ト']",['つち'],"['soil', 'earth', 'ground', 'Turkey']",やせた土を肥沃で元気な土に改良します！,(This product will) make infertile soil rich and healthy.
59,木,1.0,4,317,5,"['ボク', 'モク']","['き', 'こ-']","['tree', 'wood']",紙は木から作られる。,Paper is made from wood.
60,聞,2.0,14,319,5,"['ブン', 'モン']","['き.く', 'き.こえる']","['hear', 'ask', 'listen']",「私はおじいさんからはじめて聞きました」,"""I heard about it for the first time from the old man."""
61,食,2.0,9,328,5,"['ショク', 'ジキ']","['く.う', 'く.らう', 'た.べる', 'は.む']","['eat', 'food']",例外は中国で、おそらく平らなパンは食されていなかった。,"The exception was in China, where flat bread was probably not eaten."
62,車,1.0,7,333,5,['シャ'],['くるま'],['car'],この車はわたしのだ。,This car is mine.
63,南,2.0,9,341,5,"['ナン', 'ナ']",['みなみ'],['south'],鳥は冬になると南へ飛んでいく。,Birds fly south in winter.
64,万,2.0,3,375,5,"['マン', 'バン']",['よろず'],"['ten thousand', '10', '000']",その仕事は毎月５０万円になる。,The job earns him half a million yen every month.
65,毎,2.0,6,436,5,['マイ'],"['ごと', '-ごと.に']",['every'],毎日曜日に教会に行きます。,I go to church every Sunday.
66,白,1.0,5,483,5,"['ハク', 'ビャク']","['しろ', 'しら-', 'しろ.い']",['white'],あの白ワインを少し試してみたらどう？,Why not try some of that white wine?
67,天,1.0,4,512,5,['テン'],"['あまつ', 'あめ', 'あま-']","['heavens', 'sky', 'imperial']",彼は天の助けを得た。,He got assistance from above.
68,母,2.0,5,570,5,['ボ'],"['はは', 'も']",['mother'],フレッドは母に長い手紙を書いた。,Fred wrote his mother a long letter.
69,火,1.0,4,574,5,['カ'],"['ひ', '-び', 'ほ-']",['fire'],火を貸してくれませんか。,"Give me a light, would you?"
70,右,1.0,5,602,5,"['ウ', 'ユウ']",['みぎ'],['right'],駅が右にあります。,The station is on the right.
71,読,2.0,14,618,5,"['ドク', 'トク', 'トウ']","['よ.む', '-よ.み']",['read'],向こうで本を読でいる人はわたしの父です。,The man reading a book over there is my father.
72,友,2.0,4,622,5,['ユウ'],['とも'],['friend'],私と友に眠る。,She lies here beside me.
73,左,1.0,5,630,5,"['サ', 'シャ']",['ひだり'],['left'],入るお金が右から左へと出てしまう。,I spend money as soon as I get it.
74,休,1.0,6,642,5,['キュウ'],"['やす.む', 'やす.まる', 'やす.める']","['rest', 'day off', 'retire', 'sleep']",私は５月に休暇をとるつもりだ。,I expect to take a vacation in May.
75,父,2.0,4,646,5,['フ'],['ちち'],['father'],父はこの電車でボストンに行きます。,My Dad is going to Boston on the train.
76,雨,1.0,8,950,5,['ウ'],"['あめ', 'あま-', '-さめ']",['rain'],雨が小やみになった。,The rains entered a lull.
